transaccion_id;fecha;categoria;monto;;;;;;;
TX9742514;2024-01-01;correcta;247.94;;;;;;;
TX6041304;2024-01-01;correcta;369.5;;;;;;;
TX5444862;2024-01-01;incompleta;396.92;;;;;;;
TX6852487;2024-01-01;correcta;188.99;;;;;;;
TX2036833;2024-01-01;correcta;50.08;;;;;;;
TX4222348;2024-01-01;correcta;454.12;;;;;;;
TX4668177;2024-01-01;correcta;67.98;;;;;;;
TX6462884;2024-01-01;correcta;302.53;;;;;;;
TX1642289;2024-01-01;correcta;457.12;;;;;;;
TX4732911;2024-01-01;correcta;443.14;;;;;;;
TX2085902;2024-01-01;correcta;291.08;;;;;;;
TX9512977;2024-01-01;correcta;204.81;;;;;;;
TX3056481;2024-01-01;correcta;270.93;;;;;;;
TX7794328;2024-01-01;correcta;319.66;;;;;;;
TX6901065;2024-01-01;correcta;241.41;;;;;;;
TX1127381;2024-01-01;cancelada;20.38;;;;;;;
TX3630354;2024-01-01;cancelada;185.75;;;;;;;
TX8160632;2024-01-01;cancelada;224.88;;;;;;;
TX8727371;2024-01-01;cancelada;243.29;;;;;;;
TX8296936;2024-01-01;correcta;34.49;;;;;;;
TX8446764;2024-01-01;correcta;141.08;;;;;;;
TX7234381;2024-01-01;correcta;177.22;;;;;;;
TX4409873;2024-01-01;correcta;110.58;;;;;;;
TX3263986;2024-01-01;correcta;296.44;;;;;;;
TX6183011;2024-01-01;cancelada;245.56;;;;;;;
TX1666428;2024-01-01;incompleta;234.86;;;;;;;
TX9132423;2024-01-01;correcta;338.96;;;;;;;
TX2138887;2024-01-01;correcta;49.68;;;;;;;
TX6459701;2024-01-01;cancelada;194.28;;;;;;;
TX7229142;2024-01-01;correcta;265.3;;;;;;;
TX2683855;2024-01-01;correcta;208.21;;;;;;;
TX7419851;2024-01-01;cancelada;226.87;;;;;;;
TX9064569;2024-01-01;correcta;446.4;;;;;;;
TX1274611;2024-01-01;correcta;151.42;;;;;;;
TX1866265;2024-01-01;cancelada;243.41;;;;;;;
TX2020175;2024-01-01;correcta;227.87;;;;;;;
TX4945670;2024-01-01;correcta;79.12;;;;;;;
TX6443082;2024-01-01;correcta;58.53;;;;;;;
TX7278888;2024-01-01;correcta;456.33;;;;;;;
TX6275414;2024-01-01;correcta;220.42;;;;;;;
TX7438011;2024-01-01;cancelada;275.65;;;;;;;
TX1255795;2024-01-01;cancelada;401.14;;;;;;;
TX8314298;2024-01-01;correcta;277.02;;;;;;;
TX1796898;2024-01-01;correcta;35.9;;;;;;;
TX8595689;2024-01-01;correcta;349.27;;;;;;;
TX6712800;2024-01-01;correcta;435.41;;;;;;;
TX2584606;2024-01-01;correcta;394.85;;;;;;;
TX2955057;2024-01-01;correcta;193.07;;;;;;;
TX8780695;2024-01-01;correcta;389.14;;;;;;;
TX6517572;2024-01-01;correcta;154.98;;;;;;;
TX7983736;2024-01-01;correcta;57.4;;;;;;;
TX9164865;2024-01-01;correcta;15.64;;;;;;;
TX1221374;2024-01-01;correcta;318.74;;;;;;;
TX2766499;2024-01-01;cancelada;120.87;;;;;;;
TX3492219;2024-01-01;correcta;258.95;;;;;;;
TX1585435;2024-01-01;cancelada;201.62;;;;;;;
TX8041676;2024-01-01;correcta;415.45;;;;;;;
TX4532477;2024-01-01;incompleta;138.79;;;;;;;
TX3296464;2024-01-01;correcta;132.6;;;;;;;
TX5636255;2024-01-01;correcta;432.23;;;;;;;
TX8546590;2024-01-01;correcta;26.88;;;;;;;
TX3457079;2024-01-02;correcta;306.97;;;;;;;
TX7231661;2024-01-02;cancelada;497.93;;;;;;;
TX9995116;2024-01-02;correcta;161.81;;;;;;;
TX3475262;2024-01-02;cancelada;375.98;;;;;;;
TX1324218;2024-01-02;correcta;407.07;;;;;;;
TX5505945;2024-01-02;correcta;389.41;;;;;;;
TX9559355;2024-01-02;cancelada;310.1;;;;;;;
TX9246952;2024-01-02;cancelada;141.63;;;;;;;
TX7799427;2024-01-02;correcta;58.14;;;;;;;
TX3966292;2024-01-02;correcta;138.59;;;;;;;
TX1832854;2024-01-02;correcta;308.93;;;;;;;
TX9211491;2024-01-02;correcta;99.6;;;;;;;
TX2335325;2024-01-02;incompleta;45.04;;;;;;;
TX1411422;2024-01-02;correcta;46.75;;;;;;;
TX6348680;2024-01-02;correcta;27.41;;;;;;;
TX8240141;2024-01-02;correcta;418.39;;;;;;;
TX2712409;2024-01-02;cancelada;377.78;;;;;;;
TX1104392;2024-01-02;cancelada;357.84;;;;;;;
TX9466471;2024-01-02;correcta;71.48;;;;;;;
TX7087558;2024-01-02;correcta;322.79;;;;;;;
TX3844048;2024-01-02;incompleta;265.56;;;;;;;
TX8128244;2024-01-02;correcta;402.25;;;;;;;
TX7544760;2024-01-02;correcta;192.96;;;;;;;
TX9272445;2024-01-02;correcta;68.18;;;;;;;
TX4290377;2024-01-02;incompleta;182.31;;;;;;;
TX3620346;2024-01-02;correcta;261.76;;;;;;;
TX9506550;2024-01-02;correcta;444.03;;;;;;;
TX1151836;2024-01-02;correcta;246.62;;;;;;;
TX9067732;2024-01-02;incompleta;294.05;;;;;;;
TX8797089;2024-01-02;cancelada;266.59;;;;;;;
TX5673411;2024-01-02;correcta;154.37;;;;;;;
TX4659882;2024-01-02;correcta;93.24;;;;;;;
TX6140954;2024-01-02;correcta;247.32;;;;;;;
TX8760233;2024-01-02;correcta;281.93;;;;;;;
TX8261813;2024-01-02;correcta;56.02;;;;;;;
TX3395054;2024-01-02;correcta;215.27;;;;;;;
TX1564062;2024-01-02;correcta;294.65;;;;;;;
TX7350943;2024-01-02;cancelada;374.74;;;;;;;
TX7090571;2024-01-02;correcta;158.03;;;;;;;
