id_tra,idbin,idcategoria,idcomercio,fecha,monto
TX3020,601000,I,COM003,2024-06-06,412.33
TX3021,510001,C,COM005,2024-05-06,911.33
TX3022,400000,C,COM002,2024-04-04,235.41
TX3023,352800,C,COM005,2024-05-25,999.28
TX3024,352801,I,COM005,2024-01-24,478.42
TX3025,510001,C,COM003,2024-05-30,27.69
TX3026,510000,I,COM001,2024-03-04,373.64
TX3027,601000,I,COM003,2024-03-11,836.97
TX3028,510001,C,COM002,2024-06-09,365.70
TX3029,352800,C,COM003,2024-02-14,758.75
TX3030,400001,I,COM002,2024-06-01,968.17
TX3031,601001,A,COM001,2024-01-30,711.45
TX3032,510001,A,COM003,2024-05-16,91.26
TX3033,400000,C,COM004,2024-04-14,570.07
TX3034,510001,A,COM001,2024-05-04,436.77
TX3035,510001,I,COM004,2024-03-28,746.78
TX3036,510000,C,COM004,2024-04-18,664.04
TX3037,352800,I,COM002,2024-01-30,496.15
TX3038,400000,C,COM004,2024-04-25,343.28
TX3039,352800,I,COM003,2024-06-26,463.18
TX3040,510000,I,COM001,2024-02-14,243.09
TX3041,400000,I,COM002,2024-02-10,872.25
TX3042,352800,C,COM004,2024-04-03,995.65
TX3043,400000,C,COM003,2024-05-12,394.42
TX3044,510001,C,COM002,2024-01-01,654.4
TX3045,352801,C,COM001,2024-05-17,848.77
TX3046,601001,I,COM005,2024-01-10,568.75
TX3047,601000,I,COM001,2024-03-15,814.88
TX3048,601001,C,COM002,2024-01-30,664.79
TX3049,352800,C,COM002,2024-05-14,248.61
TX3050,352800,I,COM005,2024-02-05,555.49
TX3051,601001,C,COM001,2024-05-19,643.36
TX3052,400001,A,COM003,2024-05-13,368.58
TX3053,352800,I,COM003,2024-03-17,579.93
TX3054,352801,C,COM003,2024-04-04,234.49
TX3055,352800,I,COM001,2024-03-25,700.03
TX3056,510000,A,COM004,2024-05-05,386.83
TX3057,510001,I,COM002,2024-06-14,484.87
TX3058,601001,C,COM003,2024-06-12,664.44
TX3059,601001,C,COM002,2024-01-07,653.57
TX3060,352801,C,COM003,2024-01-25,306.69
TX3061,601000,A,COM004,2024-03-12,345.82
TX3062,510001,C,COM002,2024-04-06,536.01
TX3063,601001,I,COM001,2024-06-03,483.56
TX3064,352801,A,COM001,2024-05-02,669.76
TX3065,352801,C,COM002,2024-01-11,367.14
TX3066,601001,C,COM004,2024-05-21,738.76
TX3067,510001,C,COM001,2024-03-10,902.91
TX3068,400000,I,COM002,2024-02-25,700.54
TX3069,352800,C,COM003,2024-04-04,781.55
TX3070,601001,I,COM003,2024-04-07,259.45
TX3071,510001,C,COM004,2024-04-24,146.29
TX3072,510000,C,COM005,2024-05-06,49.08
TX3073,400001,I,COM005,2024-02-17,628.82
TX3074,352801,C,COM002,2024-04-06,571.71
TX3075,601000,I,COM004,2024-06-11,799.01
TX3076,400000,C,COM002,2024-01-25,810.85
TX3077,601000,I,COM005,2024-03-10,985.17
TX3078,601000,C,COM003,2024-05-07,982.42
TX3079,352801,C,COM002,2024-01-10,871.21
TX3080,352801,I,COM003,2024-02-17,230.35
TX3081,400001,C,COM002,2024-04-02,886.71
TX3082,352801,C,COM001,2024-03-04,671.07
TX3083,510000,C,COM003,2024-05-12,222.86
TX3084,601001,C,COM003,2024-05-31,818.72
TX3085,510000,I,COM003,2024-02-07,711.39
TX3086,510001,C,COM005,2024-01-30,990.92
TX3087,601000,I,COM003,2024-03-06,690.85
TX3088,510001,I,COM004,2024-06-05,967.87
TX3089,400001,C,COM002,2024-05-15,90.95
TX3090,352801,C,COM003,2024-04-20,910.58
TX3091,400001,A,COM002,2024-03-21,31.51
TX3092,510000,I,COM002,2024-03-31,423.46
TX3093,400001,C,COM001,2024-01-26,132.83
TX3094,601001,C,COM004,2024-05-06,170.75
TX3095,352801,I,COM003,2024-04-18,568.37
TX3096,510001,I,COM001,2024-06-13,207.27
TX3097,601000,I,COM001,2024-01-06,541.42
TX3098,352800,I,COM005,2024-06-15,265.18
TX3099,352801,I,COM004,2024-06-20,13.06
TX3100,510000,I,COM003,2024-03-08,838.07
TX3101,352800,C,COM003,2024-05-19,934.60
TX3102,601001,I,COM004,2024-06-25,266.07
TX3103,601000,C,COM002,2024-05-25,382.28
TX3104,601001,C,COM002,2024-04-12,837.75
TX3105,400000,I,COM002,2024-01-19,985.48
TX3106,601001,C,COM001,2024-04-06,521.54
TX3107,400000,I,COM004,2024-03-31,231.17
TX3108,601000,C,COM004,2024-02-19,213.01
TX3109,400001,I,COM001,2024-03-02,816.17
TX3110,352801,C,COM003,2024-01-26,718.93
TX3111,510000,C,COM001,2024-01-29,423.82
TX3112,352800,I,COM001,2024-03-09,899.63
TX3113,352800,C,COM001,2024-04-27,846.41
TX3114,601000,I,COM004,2024-02-21,961.03
TX3115,510001,I,COM002,2024-04-09,354.42
TX3116,400001,C,COM002,2024-04-03,256.48
