fecha,transaccion_id,categoria,monto
2024-01-01,TX9742514,correcta,247.94
2024-01-01,TX6041304,correcta,369.5
2024-01-01,TX5444862,incompleta,396.92
2024-01-01,TX6852487,correcta,188.99
2024-01-01,TX2036833,correcta,50.08
2024-01-01,TX4222348,correcta,454.12
2024-01-01,TX4668177,correcta,67.98
2024-01-01,TX6462884,correcta,302.53
2024-01-01,TX1642289,correcta,457.12
2024-01-01,TX4732911,correcta,443.14
2024-01-01,TX2085902,correcta,291.08
2024-01-01,TX9512977,correcta,204.81
2024-01-01,TX3056481,correcta,270.93
2024-01-01,TX7794328,correcta,319.66
2024-01-01,TX6901065,correcta,241.41
2024-01-01,TX1127381,cancelada,20.38
2024-01-01,TX3630354,cancelada,185.75
2024-01-01,TX8160632,cancelada,224.88
2024-01-01,TX8727371,cancelada,243.29
2024-01-01,TX8296936,correcta,34.49
2024-01-01,TX8446764,correcta,141.08
2024-01-01,TX7234381,correcta,177.22
2024-01-01,TX4409873,correcta,110.58
2024-01-01,TX3263986,correcta,296.44
2024-01-01,TX6183011,cancelada,245.56
2024-01-01,TX1666428,incompleta,234.86
2024-01-01,TX9132423,correcta,338.96
2024-01-01,TX2138887,correcta,49.68
2024-01-01,TX6459701,cancelada,194.28
2024-01-01,TX7229142,correcta,265.3
2024-01-01,TX2683855,correcta,208.21
2024-01-01,TX7419851,cancelada,226.87
2024-01-01,TX9064569,correcta,446.4
2024-01-01,TX1274611,correcta,151.42
2024-01-01,TX1866265,cancelada,243.41
2024-01-01,TX2020175,correcta,227.87
2024-01-01,TX4945670,correcta,79.12
2024-01-01,TX6443082,correcta,58.53
2024-01-01,TX7278888,correcta,456.33
2024-01-01,TX6275414,correcta,220.42
2024-01-01,TX7438011,cancelada,275.65
2024-01-01,TX1255795,cancelada,401.14
2024-01-01,TX8314298,correcta,277.02
2024-01-01,TX1796898,correcta,35.9
2024-01-01,TX8595689,correcta,349.27
2024-01-01,TX6712800,correcta,435.41
2024-01-01,TX2584606,correcta,394.85
2024-01-01,TX2955057,correcta,193.07
2024-01-01,TX8780695,correcta,389.14
2024-01-01,TX6517572,correcta,154.98
2024-01-01,TX7983736,correcta,57.4
2024-01-01,TX9164865,correcta,15.64
2024-01-01,TX1221374,correcta,318.74
2024-01-01,TX2766499,cancelada,120.87
2024-01-01,TX3492219,correcta,258.95
2024-01-01,TX1585435,cancelada,201.62
2024-01-01,TX8041676,correcta,415.45
2024-01-01,TX4532477,incompleta,138.79
2024-01-01,TX3296464,correcta,132.6
2024-01-01,TX5636255,correcta,432.23
2024-01-01,TX8546590,correcta,26.88
2024-01-02,TX3457079,correcta,306.97
2024-01-02,TX7231661,cancelada,497.93
2024-01-02,TX9995116,correcta,161.81
2024-01-02,TX3475262,cancelada,375.98
2024-01-02,TX1324218,correcta,407.07
2024-01-02,TX5505945,correcta,389.41
2024-01-02,TX9559355,cancelada,310.1
2024-01-02,TX9246952,cancelada,141.63
2024-01-02,TX7799427,correcta,58.14
2024-01-02,TX3966292,correcta,138.59
2024-01-02,TX1832854,correcta,308.93
2024-01-02,TX9211491,correcta,99.6
2024-01-02,TX2335325,incompleta,45.04
2024-01-02,TX1411422,correcta,46.75
2024-01-02,TX6348680,correcta,27.41
2024-01-02,TX8240141,correcta,418.39
2024-01-02,TX2712409,cancelada,377.78
2024-01-02,TX1104392,cancelada,357.84
2024-01-02,TX9466471,correcta,71.48
2024-01-02,TX7087558,correcta,322.79
2024-01-02,TX3844048,incompleta,265.56
2024-01-02,TX8128244,correcta,402.25
2024-01-02,TX7544760,correcta,192.96
2024-01-02,TX9272445,correcta,68.18
2024-01-02,TX4290377,incompleta,182.31
2024-01-02,TX3620346,correcta,261.76
2024-01-02,TX9506550,correcta,444.03
2024-01-02,TX1151836,correcta,246.62
2024-01-02,TX9067732,incompleta,294.05
2024-01-02,TX8797089,cancelada,266.59
2024-01-02,TX5673411,correcta,154.37
2024-01-02,TX4659882,correcta,93.24
2024-01-02,TX6140954,correcta,247.32
2024-01-02,TX8760233,correcta,281.93
2024-01-02,TX8261813,correcta,56.02
2024-01-02,TX3395054,correcta,215.27
2024-01-02,TX1564062,correcta,294.65
2024-01-02,TX7350943,cancelada,374.74
2024-01-02,TX7090571,correcta,158.03
2024-01-02,TX8348561,correcta,19.1
2024-01-02,TX7380451,incompleta,404.06
2024-01-02,TX5192721,correcta,213.54
2024-01-02,TX5019605,correcta,363.13
2024-01-02,TX4409341,correcta,194.2
2024-01-02,TX8364637,incompleta,398.89
2024-01-02,TX5005701,correcta,146.43
2024-01-02,TX6716521,correcta,10.36
2024-01-02,TX3767217,correcta,108.35
2024-01-02,TX7616919,incompleta,366.56
2024-01-02,TX2056645,cancelada,75.0
2024-01-02,TX1014993,correcta,82.63
2024-01-02,TX6343193,correcta,452.25
2024-01-02,TX6431459,cancelada,86.02
2024-01-02,TX9822564,correcta,198.15
2024-01-02,TX6662702,correcta,151.86
2024-01-02,TX5149477,correcta,162.13
2024-01-02,TX9970858,correcta,468.02
2024-01-02,TX4491235,cancelada,176.16
2024-01-02,TX4692375,correcta,335.2
2024-01-02,TX5490946,cancelada,183.78
2024-01-02,TX8602183,cancelada,119.63
2024-01-02,TX1854585,correcta,75.64
2024-01-02,TX3636169,correcta,425.03
2024-01-02,TX4623610,correcta,138.83
2024-01-02,TX4772896,correcta,473.06
2024-01-02,TX7553901,correcta,327.64
2024-01-02,TX7893984,correcta,88.43
2024-01-02,TX1369364,correcta,37.56
2024-01-02,TX3194930,correcta,33.65
2024-01-02,TX7222027,cancelada,125.01
2024-01-02,TX2550925,cancelada,62.72
2024-01-03,TX5658438,correcta,320.08
2024-01-03,TX2867197,correcta,379.96
2024-01-03,TX8039437,cancelada,129.59
2024-01-03,TX4270309,correcta,253.32
2024-01-03,TX3181335,cancelada,70.01
2024-01-03,TX4304130,correcta,138.73
2024-01-03,TX2478517,correcta,193.95
2024-01-03,TX2245467,correcta,111.59
2024-01-03,TX5116060,correcta,227.53
2024-01-03,TX3064214,cancelada,340.31
2024-01-03,TX6872852,cancelada,82.73
2024-01-03,TX1740820,correcta,304.16
2024-01-03,TX9815936,correcta,20.31
2024-01-03,TX7303657,incompleta,28.47
2024-01-03,TX5617856,correcta,359.13
2024-01-03,TX1540318,incompleta,197.14
2024-01-03,TX2580136,correcta,23.51
2024-01-03,TX7648726,incompleta,229.59
2024-01-03,TX9414852,correcta,56.79
2024-01-03,TX6727029,correcta,394.86
2024-01-03,TX3051940,cancelada,74.21
2024-01-03,TX3550150,correcta,449.32
2024-01-03,TX1226284,correcta,84.07
2024-01-03,TX1110490,correcta,173.16
2024-01-03,TX5866105,correcta,138.53
2024-01-03,TX5688457,correcta,441.08
2024-01-03,TX4832396,correcta,316.58
2024-01-03,TX6912112,correcta,294.2
2024-01-03,TX1968703,correcta,79.07
2024-01-03,TX2611531,correcta,258.65
2024-01-03,TX1684708,correcta,490.87
2024-01-03,TX9806165,correcta,84.93
2024-01-03,TX2749917,incompleta,271.42
2024-01-03,TX7412679,cancelada,205.87
2024-01-03,TX5037331,incompleta,167.96
2024-01-03,TX7580359,correcta,495.51
2024-01-03,TX4496698,correcta,461.13
2024-01-03,TX9807020,correcta,441.94
2024-01-03,TX9657115,correcta,13.82
2024-01-03,TX9646978,correcta,50.38
2024-01-03,TX2919615,correcta,185.08
2024-01-03,TX5364717,cancelada,488.73
2024-01-03,TX7164391,incompleta,144.13
2024-01-03,TX2321758,correcta,51.01
2024-01-03,TX4767326,cancelada,319.72
2024-01-03,TX3600450,correcta,38.95
2024-01-03,TX3578929,incompleta,59.81
2024-01-03,TX5526007,correcta,141.23
2024-01-03,TX3286565,correcta,81.3
2024-01-03,TX1611934,correcta,229.21
2024-01-03,TX9922712,incompleta,491.0
2024-01-03,TX1540794,incompleta,411.35
2024-01-03,TX8112757,correcta,96.26
2024-01-03,TX7303480,correcta,357.81
2024-01-03,TX5732063,cancelada,357.2
2024-01-03,TX9175662,cancelada,64.05
2024-01-03,TX6433692,correcta,63.68
2024-01-03,TX2692953,correcta,433.19
2024-01-03,TX9375866,correcta,45.88
2024-01-03,TX3298803,cancelada,371.36
2024-01-03,TX8050370,correcta,174.33
2024-01-03,TX3913357,correcta,87.38
2024-01-03,TX1451297,correcta,150.38
2024-01-03,TX2711586,correcta,29.9
2024-01-03,TX3629737,incompleta,121.52
2024-01-03,TX1137338,cancelada,200.48
2024-01-03,TX5187807,correcta,162.43
2024-01-03,TX7440978,correcta,350.74
2024-01-03,TX7682328,correcta,416.12
2024-01-03,TX3682925,cancelada,406.26
2024-01-03,TX7544738,correcta,24.22
2024-01-03,TX4040577,correcta,495.43
2024-01-03,TX6934669,correcta,410.06
2024-01-03,TX7882709,correcta,68.28
2024-01-03,TX2025078,cancelada,43.61
2024-01-03,TX5620896,correcta,393.68
2024-01-03,TX9204783,correcta,492.42
2024-01-03,TX9292832,correcta,292.23
2024-01-03,TX5532686,correcta,50.31
2024-01-03,TX5691970,correcta,106.54
2024-01-03,TX3657738,correcta,331.8
2024-01-03,TX4586112,correcta,379.32
2024-01-03,TX9462170,correcta,197.04
2024-01-03,TX7819612,correcta,186.01
2024-01-03,TX1831023,correcta,151.03
2024-01-03,TX2702277,correcta,339.61
2024-01-03,TX6254598,cancelada,169.66
2024-01-03,TX2831665,cancelada,93.06
2024-01-03,TX6211113,correcta,169.95
2024-01-03,TX2240276,cancelada,397.06
2024-01-03,TX2632953,correcta,194.13
2024-01-03,TX1970014,correcta,111.3
2024-01-03,TX5618265,incompleta,435.56
2024-01-03,TX8304150,cancelada,196.18
2024-01-03,TX1961530,correcta,162.6
2024-01-03,TX2120641,cancelada,341.9
2024-01-03,TX7035440,cancelada,135.64
2024-01-03,TX1366388,incompleta,479.32
2024-01-03,TX3427643,correcta,481.73
2024-01-03,TX5807661,correcta,219.78
2024-01-03,TX3022352,correcta,246.75
2024-01-03,TX4072956,cancelada,229.21
2024-01-03,TX2298098,correcta,221.93
2024-01-03,TX3539872,cancelada,38.32
2024-01-03,TX8827518,correcta,211.89
2024-01-04,TX8483139,correcta,63.55
2024-01-04,TX1250385,correcta,350.62
2024-01-04,TX8657885,correcta,414.67
2024-01-04,TX3287555,correcta,450.2
2024-01-04,TX4460754,correcta,240.07
2024-01-04,TX2977378,correcta,374.03
2024-01-04,TX4045464,cancelada,287.35
2024-01-04,TX9332560,correcta,165.37
2024-01-04,TX9531626,incompleta,452.71
2024-01-04,TX9423109,cancelada,74.04
2024-01-04,TX7310171,cancelada,457.24
2024-01-04,TX5877826,correcta,280.76
2024-01-04,TX3500038,correcta,103.76
2024-01-04,TX3642997,correcta,96.93
2024-01-04,TX5607828,correcta,156.09
2024-01-04,TX2454474,correcta,157.47
2024-01-04,TX1493305,correcta,329.36
2024-01-04,TX4382321,correcta,264.15
2024-01-04,TX3937045,correcta,29.97
2024-01-04,TX4971688,correcta,366.14
2024-01-04,TX6896798,cancelada,472.81
2024-01-04,TX1707370,correcta,174.4
2024-01-04,TX8725648,cancelada,412.58
2024-01-04,TX5294596,cancelada,260.83
2024-01-04,TX8393254,correcta,449.28
2024-01-04,TX2946540,correcta,303.75
2024-01-04,TX4077929,correcta,498.0
2024-01-04,TX8853102,cancelada,43.7
2024-01-04,TX5613310,incompleta,294.23
2024-01-04,TX2758797,incompleta,187.48
2024-01-04,TX2986633,correcta,98.28
2024-01-04,TX4366296,correcta,454.67
2024-01-04,TX4145383,correcta,458.35
2024-01-04,TX7583623,correcta,146.44
2024-01-04,TX2301306,cancelada,431.84
2024-01-04,TX7006392,correcta,479.95
2024-01-04,TX1940150,cancelada,220.2
2024-01-04,TX8111126,correcta,175.21
2024-01-04,TX1172060,correcta,338.21
2024-01-04,TX5539192,cancelada,30.26
2024-01-04,TX8663951,cancelada,445.72
2024-01-04,TX2397788,correcta,275.75
2024-01-04,TX5188518,correcta,250.76
2024-01-04,TX5052766,correcta,10.69
2024-01-04,TX8737182,cancelada,293.32
2024-01-04,TX3252323,correcta,340.04
2024-01-04,TX7284301,correcta,417.7
2024-01-04,TX2619634,correcta,389.07
2024-01-04,TX7034231,correcta,181.05
2024-01-04,TX9273083,cancelada,490.53
2024-01-04,TX8504391,correcta,363.13
2024-01-04,TX7947188,cancelada,94.88
2024-01-04,TX4308148,correcta,306.95
2024-01-04,TX5752018,correcta,404.49
2024-01-04,TX1308990,correcta,90.38
2024-01-04,TX7062004,correcta,170.24
2024-01-04,TX5952673,cancelada,107.53
2024-01-04,TX7045477,cancelada,422.24
2024-01-04,TX7250336,correcta,55.79
2024-01-04,TX1740320,correcta,70.23
2024-01-04,TX8559050,cancelada,201.68
2024-01-04,TX3535655,incompleta,268.72
2024-01-04,TX3584463,cancelada,317.71
2024-01-04,TX7159930,correcta,300.76
2024-01-04,TX7124762,correcta,198.81
2024-01-04,TX9925978,cancelada,345.12
2024-01-04,TX8566829,correcta,328.95
2024-01-04,TX3871418,correcta,51.84
2024-01-04,TX2947846,correcta,39.38
2024-01-04,TX5959476,correcta,281.0
2024-01-04,TX7552649,cancelada,446.58
2024-01-04,TX7363897,correcta,24.88
2024-01-04,TX9932311,correcta,115.07
2024-01-04,TX5159372,correcta,92.91
2024-01-04,TX4549779,correcta,465.21
2024-01-04,TX6518815,correcta,29.55
2024-01-04,TX6515325,correcta,461.44
